product_id,product_name,stock_quantity,warehouse_location,last_updated
100,Product_0,301,Pune,2026-04-03 11:59:51.997363
101,Product_1,488,Mumbai,2026-04-03 11:59:51.997366
102,Product_2,417,Mumbai,2026-04-03 11:59:51.997367
103,Product_3,452,Mumbai,2026-04-03 11:59:51.997367
104,Product_4,324,Mumbai,2026-04-03 11:59:51.997367
105,Product_5,349,Delhi,2026-04-03 11:59:51.997368
106,Product_6,413,Delhi,2026-04-03 11:59:51.997368
107,Product_7,367,Delhi,2026-04-03 11:59:51.997369
108,Product_8,43,Mumbai,2026-04-03 11:59:51.997369
109,Product_9,131,Delhi,2026-04-03 11:59:51.997369
110,Product_10,314,Bangalore,2026-04-03 11:59:51.997370
111,Product_11,408,Mumbai,2026-04-03 11:59:51.997370
112,Product_12,425,Pune,2026-04-03 11:59:51.997371
113,Product_13,38,Mumbai,2026-04-03 11:59:51.997371
114,Product_14,201,Mumbai,2026-04-03 11:59:51.997371
115,Product_15,351,Pune,2026-04-03 11:59:51.997372
116,Product_16,302,Delhi,2026-04-03 11:59:51.997372
117,Product_17,172,Bangalore,2026-04-03 11:59:51.997372
118,Product_18,82,Bangalore,2026-04-03 11:59:51.997373
119,Product_19,224,Mumbai,2026-04-03 11:59:51.997373
120,Product_20,170,Mumbai,2026-04-03 11:59:51.997373
121,Product_21,482,Mumbai,2026-04-03 11:59:51.997374
122,Product_22,109,Mumbai,2026-04-03 11:59:51.997374
123,Product_23,367,Delhi,2026-04-03 11:59:51.997375
124,Product_24,268,Pune,2026-04-03 11:59:51.997375
125,Product_25,262,Delhi,2026-04-03 11:59:51.997375
126,Product_26,214,Mumbai,2026-04-03 11:59:51.997376
127,Product_27,101,Mumbai,2026-04-03 11:59:51.997376
128,Product_28,169,Bangalore,2026-04-03 11:59:51.997377
129,Product_29,470,Delhi,2026-04-03 11:59:51.997377
130,Product_30,259,Pune,2026-04-03 11:59:51.997377
131,Product_31,352,Bangalore,2026-04-03 11:59:51.997378
132,Product_32,223,Pune,2026-04-03 11:59:51.997378
133,Product_33,27,Mumbai,2026-04-03 11:59:51.997378
134,Product_34,49,Delhi,2026-04-03 11:59:51.997379
135,Product_35,306,Pune,2026-04-03 11:59:51.997379
136,Product_36,27,Bangalore,2026-04-03 11:59:51.997380
137,Product_37,273,Pune,2026-04-03 11:59:51.997380
138,Product_38,375,Bangalore,2026-04-03 11:59:51.997380
139,Product_39,433,Bangalore,2026-04-03 11:59:51.997381
140,Product_40,346,Pune,2026-04-03 11:59:51.997381
141,Product_41,167,Mumbai,2026-04-03 11:59:51.997382
142,Product_42,134,Pune,2026-04-03 11:59:51.997382
143,Product_43,476,Delhi,2026-04-03 11:59:51.997382
144,Product_44,335,Delhi,2026-04-03 11:59:51.997383
